               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.028416,            0.013585,                   0,             0.79246,             0.84065,             0.82218,             0.34436,            0.039734,            0.013593,                   0,            0.001316,            0.001316,            0.001316
                  90,            0.028819,            0.014507,                   0,             0.81002,             0.81429,             0.82075,             0.34151,            0.039837,            0.013395,                   0,            0.001266,            0.001266,            0.001266
                  91,            0.028011,            0.012434,                   0,               0.826,             0.81963,             0.81701,             0.34626,            0.039364,            0.013538,                   0,           0.0012202,           0.0012202,           0.0012202
                  92,            0.027812,            0.012827,                   0,             0.83417,             0.80106,             0.82573,             0.35576,            0.039268,            0.013609,                   0,           0.0011787,           0.0011787,           0.0011787
                  93,            0.027849,             0.01367,                   0,             0.82073,             0.81361,             0.80921,             0.34446,            0.039997,            0.013814,                   0,           0.0011414,           0.0011414,           0.0011414
                  94,            0.027907,              0.0131,                   0,             0.83835,             0.81167,             0.81855,             0.35224,            0.039594,            0.013705,                   0,           0.0011084,           0.0011084,           0.0011084
                  95,            0.027629,            0.012292,                   0,             0.81714,             0.80637,             0.80614,             0.34456,            0.039807,            0.013891,                   0,           0.0010797,           0.0010797,           0.0010797
                  96,            0.028081,            0.012253,                   0,             0.83136,             0.81963,             0.81705,             0.33599,            0.039948,            0.014226,                   0,           0.0010554,           0.0010554,           0.0010554
                  97,            0.027496,            0.012693,                   0,             0.84218,             0.82228,             0.83541,             0.34487,             0.03961,            0.013976,                   0,           0.0010355,           0.0010355,           0.0010355
                  98,            0.026971,            0.012866,                   0,             0.83217,             0.81698,             0.83094,             0.34716,            0.040329,            0.013847,                   0,             0.00102,             0.00102,             0.00102
                  99,            0.027277,            0.013764,                   0,             0.83543,             0.82228,             0.82777,             0.34698,            0.039876,             0.01381,                   0,           0.0010089,           0.0010089,           0.0010089
